# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2706
# Selected columns: 1/622 
# Timestamp: Fri, 18-Mar-2022 17:30:39
Gene ID	Gene Name	uterine cervix, cervical adenocarcinoma, HeLa
ENSG00000007202	KIAA0100	181.0
ENSG00000007237	GAS7	7.0
ENSG00000007255	TRAPPC6A	3.0
ENSG00000007264	MATK	0.7
ENSG00000007312	CD79B	0.1
ENSG00000007341	ST7L	8.0
ENSG00000007372	PAX6	6.0
ENSG00000007376	RPUSD1	123.0
ENSG00000007384	RHBDF1	18.0
ENSG00000007392	LUC7L	21.0
ENSG00000007402	CACNA2D2	0.1
ENSG00000007516	BAIAP3	0.4
ENSG00000007520	TSR3	182.0
ENSG00000007541	PIGQ	28.0
ENSG00000007545	CRAMP1	8.0
ENSG00000007866	TEAD3	22.0
ENSG00000007923	DNAJC11	96.0
ENSG00000007933	FMO3	0.2
ENSG00000007944	MYLIP	8.0
ENSG00000007952	NOX1	0.8
ENSG00000007968	E2F2	31.0
ENSG00000008018	PSMB1	234.0
ENSG00000008056	SYN1	0.1
ENSG00000008083	JARID2	18.0
ENSG00000008086	CDKL5	8.0
ENSG00000008118	CAMK1G	0.1
ENSG00000008128	CDK11A	12.0
ENSG00000008130	NADK	68.0
ENSG00000008226	DLEC1	0.1
ENSG00000008256	CYTH3	31.0
ENSG00000008277	ADAM22	4.0
ENSG00000008282	SYPL1	110.0
ENSG00000008283	CYB561	34.0
ENSG00000008294	SPAG9	41.0
ENSG00000008300	CELSR3	22.0
ENSG00000008311	AASS	10.0
ENSG00000008323	PLEKHG6	0.8
ENSG00000008324	SS18L2	41.0
ENSG00000008382	MPND	14.0
ENSG00000008394	MGST1	60.0
ENSG00000008405	CRY1	31.0
ENSG00000008438	PGLYRP1	0.9
ENSG00000008441	NFIX	10.0
ENSG00000008513	ST3GAL1	55.0
ENSG00000008516	MMP25	0.3
ENSG00000008517	IL32	34.0
ENSG00000008710	PKD1	24.0
ENSG00000008735	MAPK8IP2	0.8
ENSG00000008838	MED24	70.0
ENSG00000008853	RHOBTB2	21.0
ENSG00000008869	HEATR5B	13.0
ENSG00000008952	SEC62	51.0
ENSG00000008988	RPS20	504.0
ENSG00000009307	CSDE1	525.0
ENSG00000009335	UBE3C	63.0
ENSG00000009413	REV3L	12.0
ENSG00000009724	MASP2	0.9
ENSG00000009765	IYD	0.1
ENSG00000009780	FAM76A	6.0
ENSG00000009830	POMT2	14.0
ENSG00000009844	VTA1	37.0
ENSG00000009950	MLXIPL	0.4
ENSG00000009954	BAZ1B	183.0
ENSG00000010017	RANBP9	57.0
ENSG00000010072	SPRTN	15.0
ENSG00000010165	EEF1AKNMT	86.0
ENSG00000010219	DYRK4	5.0
ENSG00000010244	ZNF207	47.0
ENSG00000010256	UQCRC1	352.0
ENSG00000010270	STARD3NL	30.0
ENSG00000010278	CD9	156.0
ENSG00000010292	NCAPD2	191.0
ENSG00000010295	IFFO1	0.3
ENSG00000010310	GIPR	0.4
ENSG00000010318	PHF7	2.0
ENSG00000010319	SEMA3G	0.6
ENSG00000010322	NISCH	23.0
ENSG00000010361	FUZ	11.0
ENSG00000010379	SLC6A13	0.1
ENSG00000010404	IDS	17.0
ENSG00000010438	PRSS3	0.6
ENSG00000010539	ZNF200	8.0
ENSG00000010610	CD4	0.1
ENSG00000010626	LRRC23	5.0
ENSG00000010704	HFE	9.0
ENSG00000010803	SCMH1	30.0
ENSG00000010810	FYN	13.0
ENSG00000010818	HIVEP2	7.0
ENSG00000011007	ELOA	94.0
ENSG00000011009	LYPLA2	141.0
ENSG00000011021	CLCN6	9.0
ENSG00000011028	MRC2	70.0
ENSG00000011052	NME1-NME2	4.0
ENSG00000011083	SLC6A7	0.2
ENSG00000011105	TSPAN9	19.0
ENSG00000011114	BTBD7	15.0
ENSG00000011132	APBA3	6.0
ENSG00000011143	MKS1	17.0
ENSG00000011198	ABHD5	70.0
ENSG00000011201	ANOS1	27.0
ENSG00000011243	AKAP8L	30.0
ENSG00000011258	MBTD1	8.0
ENSG00000011260	UTP18	102.0
ENSG00000011275	RNF216	30.0
ENSG00000011295	TTC19	22.0
ENSG00000011304	PTBP1	319.0
ENSG00000011332	DPF1	3.0
ENSG00000011347	SYT7	1.0
ENSG00000011376	LARS2	69.0
ENSG00000011405	PIK3C2A	35.0
ENSG00000011422	PLAUR	50.0
ENSG00000011426	ANLN	239.0
ENSG00000011451	WIZ	31.0
ENSG00000011454	RABGAP1	36.0
ENSG00000011465	DCN	2.0
ENSG00000011478	QPCTL	34.0
ENSG00000011485	PPP5C	76.0
ENSG00000011523	CEP68	4.0
ENSG00000011566	MAP4K3	11.0
ENSG00000011590	ZBTB32	0.5
ENSG00000011638	TMEM159	10.0
ENSG00000011677	GABRA3	6.0
ENSG00000012048	BRCA1	37.0
ENSG00000012061	ERCC1	26.0
ENSG00000012124	CD22	0.1
ENSG00000012171	SEMA3B	168.0
ENSG00000012174	MBTPS2	31.0
ENSG00000012211	PRICKLE3	15.0
ENSG00000012232	EXTL3	14.0
ENSG00000012660	ELOVL5	154.0
ENSG00000012779	ALOX5	0.1
ENSG00000012822	CALCOCO1	10.0
ENSG00000012963	UBR7	63.0
ENSG00000012983	MAP4K5	26.0
ENSG00000013016	EHD3	2.0
ENSG00000013275	PSMC4	228.0
ENSG00000013288	MAN2B2	18.0
ENSG00000013293	SLC7A14	0.1
ENSG00000013297	CLDN11	0.7
ENSG00000013306	SLC25A39	217.0
ENSG00000013364	MVP	65.0
ENSG00000013374	NUB1	37.0
ENSG00000013375	PGM3	25.0
ENSG00000013392	RWDD2A	5.0
ENSG00000013441	CLK1	48.0
ENSG00000013503	POLR3B	24.0
ENSG00000013523	ANGEL1	9.0
ENSG00000013561	RNF14	25.0
ENSG00000013563	DNASE1L1	28.0
ENSG00000013573	DDX11	50.0
ENSG00000013583	HEBP1	45.0
ENSG00000013588	GPRC5A	213.0
ENSG00000013619	MAMLD1	14.0
ENSG00000013810	TACC3	86.0
ENSG00000014123	UFL1	29.0
ENSG00000014138	POLA2	44.0
ENSG00000014164	ZC3H3	31.0
ENSG00000014216	CAPN1	85.0
ENSG00000014257	ACP3	0.1
ENSG00000014641	MDH1	100.0
ENSG00000014824	SLC30A9	39.0
ENSG00000014914	MTMR11	3.0
ENSG00000014919	COX15	57.0
ENSG00000015133	CCDC88C	8.0
ENSG00000015153	YAF2	4.0
ENSG00000015171	ZMYND11	45.0
ENSG00000015285	WAS	0.4
ENSG00000015413	DPEP1	0.1
ENSG00000015475	BID	19.0
ENSG00000015479	MATR3	3.0
ENSG00000015532	XYLT2	26.0
ENSG00000015568	RGPD5	0.1
ENSG00000015676	NUDCD3	32.0
ENSG00000016082	ISL1	15.0
ENSG00000016391	CHDH	4.0
ENSG00000016402	IL20RA	0.4
ENSG00000016864	GLT8D1	54.0
ENSG00000017260	ATP2C1	53.0
ENSG00000017427	IGF1	0.8
ENSG00000017483	SLC38A5	288.0
ENSG00000017797	RALBP1	66.0
ENSG00000018189	RUFY3	6.0
ENSG00000018236	CNTN1	0.8
ENSG00000018280	SLC11A1	0.2
ENSG00000018408	WWTR1	26.0
ENSG00000018510	AGPS	121.0
ENSG00000018610	STEEP1	62.0
ENSG00000018625	ATP1A2	0.1
ENSG00000018699	TTC27	33.0
ENSG00000019102	VSIG2	0.1
ENSG00000019144	PHLDB1	10.0
ENSG00000019169	MARCO	0.3
ENSG00000019186	CYP24A1	22.0
ENSG00000019485	PRDM11	6.0
ENSG00000019505	SYT13	0.2
ENSG00000019549	SNAI2	15.0
ENSG00000019582	CD74	27.0
ENSG00000019995	ZRANB1	12.0
ENSG00000020129	NCDN	52.0
ENSG00000020181	ADGRA2	2.0
ENSG00000020256	ZFP64	27.0
ENSG00000020426	MNAT1	23.0
ENSG00000020577	SAMD4A	5.0
ENSG00000020633	RUNX3	5.0
ENSG00000020922	MRE11	23.0
ENSG00000021300	PLEKHB1	0.7
ENSG00000021355	SERPINB1	44.0
ENSG00000021461	CYP3A43	0.1
ENSG00000021574	SPAST	15.0
ENSG00000021645	NRXN3	0.4
ENSG00000021762	OSBPL5	24.0
ENSG00000021776	AQR	34.0
ENSG00000021826	CPS1	404.0
ENSG00000022267	FHL1	15.0
ENSG00000022277	RTF2	129.0
ENSG00000022556	NLRP2	0.1
ENSG00000022567	SLC45A4	6.0
ENSG00000022840	RNF10	65.0
ENSG00000022976	ZNF839	5.0
ENSG00000023041	ZDHHC6	51.0
ENSG00000023171	GRAMD1B	24.0
ENSG00000023191	RNH1	51.0
ENSG00000023228	NDUFS1	83.0
ENSG00000023287	RB1CC1	31.0
ENSG00000023318	ERP44	40.0
ENSG00000023330	ALAS1	96.0
ENSG00000023445	BIRC3	6.0
ENSG00000023516	AKAP11	21.0
ENSG00000023572	GLRX2	38.0
ENSG00000023608	SNAPC1	14.0
ENSG00000023697	DERA	46.0
ENSG00000023734	STRAP	524.0
ENSG00000023839	ABCC2	0.8
ENSG00000023892	DEF6	0.3
ENSG00000023902	PLEKHO1	3.0
ENSG00000023909	GCLM	75.0
ENSG00000024048	UBR2	20.0
ENSG00000024422	EHD2	218.0
ENSG00000024526	DEPDC1	62.0
ENSG00000024862	CCDC28A	18.0
ENSG00000025039	RRAGD	0.2
ENSG00000025156	HSF2	14.0
ENSG00000025293	PHF20	44.0
ENSG00000025423	HSD17B6	0.5
ENSG00000025434	NR1H3	9.0
ENSG00000025708	TYMP	20.0
ENSG00000025770	NCAPH2	114.0
ENSG00000025772	TOMM34	182.0
ENSG00000025796	SEC63	52.0
ENSG00000025800	KPNA6	100.0
ENSG00000026025	VIM	617.0
ENSG00000026036	RTEL1-TNFRSF6B	4.0
ENSG00000026103	FAS	12.0
ENSG00000026297	RNASET2	9.0
ENSG00000026508	CD44	128.0
ENSG00000026559	KCNG1	52.0
ENSG00000026652	AGPAT4	4.0
ENSG00000026751	SLAMF7	0.2
ENSG00000026950	BTN3A1	3.0
ENSG00000027001	MIPEP	20.0
ENSG00000027075	PRKCH	0.9
ENSG00000027697	IFNGR1	52.0
ENSG00000027847	B4GALT7	22.0
ENSG00000027869	SH2D2A	4.0
ENSG00000028116	VRK2	26.0
ENSG00000028137	TNFRSF1B	4.0
ENSG00000028203	VEZT	20.0
ENSG00000028277	POU2F2	0.1
ENSG00000028310	BRD9	75.0
ENSG00000028528	SNX1	49.0
ENSG00000028839	TBPL1	8.0
ENSG00000029153	ARNTL2	21.0
ENSG00000029363	BCLAF1	97.0
ENSG00000029364	SLC39A9	40.0
ENSG00000029534	ANK1	0.5
ENSG00000029639	TFB1M	18.0
ENSG00000029725	RABEP1	74.0
ENSG00000029993	HMGB3	96.0
ENSG00000030066	NUP160	182.0
ENSG00000030110	BAK1	57.0
ENSG00000030419	IKZF2	2.0
ENSG00000030582	GRN	148.0
ENSG00000031003	FAM13B	23.0
ENSG00000031081	ARHGAP31	2.0
ENSG00000031691	CENPQ	34.0
ENSG00000031698	SARS1	169.0
ENSG00000031823	RANBP3	32.0
ENSG00000032219	ARID4A	7.0
ENSG00000032389	EIPR1	23.0
ENSG00000032444	PNPLA6	29.0
ENSG00000032742	IFT88	6.0
ENSG00000033011	ALG1	53.0
ENSG00000033030	ZCCHC8	9.0
ENSG00000033050	ABCF2	117.0
ENSG00000033100	CHPF2	80.0
ENSG00000033122	LRRC7	0.3
ENSG00000033170	FUT8	9.0
ENSG00000033178	UBA6	28.0
ENSG00000033327	GAB2	12.0
ENSG00000033627	ATP6V0A1	21.0
ENSG00000033800	PIAS1	15.0
ENSG00000033867	SLC4A7	29.0
ENSG00000034152	MAP2K3	83.0
ENSG00000034510	TMSB10	4699.0
ENSG00000034533	ASTE1	5.0
ENSG00000034677	RNF19A	81.0
ENSG00000034693	PEX3	25.0
ENSG00000034713	GABARAPL2	53.0
ENSG00000035115	SH3YL1	2.0
ENSG00000035141	FAM136A	85.0
ENSG00000035403	VCL	158.0
ENSG00000035499	DEPDC1B	30.0
ENSG00000035664	DAPK2	1.0
ENSG00000035681	NSMAF	23.0
ENSG00000035687	ADSS2	80.0
ENSG00000035862	TIMP2	442.0
ENSG00000035928	RFC1	64.0
ENSG00000036054	TBC1D23	21.0
ENSG00000036257	CUL3	31.0
ENSG00000036530	CYP46A1	0.1
ENSG00000036549	ZZZ3	26.0
ENSG00000036672	USP2	10.0
ENSG00000037042	TUBG2	29.0
ENSG00000037241	RPL26L1	171.0
ENSG00000037280	FLT4	0.1
ENSG00000037474	NSUN2	377.0
ENSG00000037637	FBXO42	13.0
ENSG00000037749	MFAP3	35.0
ENSG00000037757	MRI1	53.0
ENSG00000037897	METTL1	40.0
ENSG00000037965	HOXC8	4.0
ENSG00000038002	AGA	18.0
ENSG00000038210	PI4K2B	20.0
ENSG00000038219	BOD1L1	35.0
ENSG00000038274	MAT2B	49.0
ENSG00000038295	TLL1	11.0
ENSG00000038358	EDC4	49.0
ENSG00000038382	TRIO	130.0
ENSG00000038532	CLEC16A	22.0
ENSG00000039068	CDH1	1.0
ENSG00000039123	MTREX	92.0
ENSG00000039139	DNAH5	0.8
ENSG00000039319	ZFYVE16	24.0
ENSG00000039523	RIPOR1	45.0
ENSG00000039560	RAI14	99.0
ENSG00000039600	SOX30	0.3
ENSG00000039650	PNKP	29.0
ENSG00000040199	PHLPP2	8.0
ENSG00000040275	SPDL1	114.0
ENSG00000040341	STAU2	11.0
ENSG00000040487	SLC66A1	19.0
ENSG00000040531	CTNS	24.0
ENSG00000040608	RTN4R	5.0
ENSG00000040633	PHF23	75.0
ENSG00000040933	INPP4A	8.0
ENSG00000041353	RAB27B	8.0
ENSG00000041357	PSMA4	154.0
ENSG00000041515	MYO16	2.0
ENSG00000041802	LSG1	66.0
ENSG00000041880	PARP3	14.0
ENSG00000041982	TNC	18.0
ENSG00000041988	THAP3	11.0
ENSG00000042062	RIPOR3	0.2
ENSG00000042088	TDP1	15.0
ENSG00000042286	AIFM2	50.0
ENSG00000042304	C2orf83	0.3
ENSG00000042317	SPATA7	2.0
ENSG00000042429	MED17	19.0
ENSG00000042445	RETSAT	55.0
ENSG00000042493	CAPG	162.0
ENSG00000042753	AP2S1	207.0
ENSG00000043039	BARX2	0.1
ENSG00000043093	DCUN1D1	17.0
ENSG00000043143	JADE2	41.0
ENSG00000043355	ZIC2	8.0
ENSG00000043514	TRIT1	55.0
ENSG00000043591	ADRB1	0.1
ENSG00000044012	GUCA2B	0.1
ENSG00000044090	CUL7	18.0
ENSG00000044115	CTNNA1	312.0
ENSG00000044446	PHKA2	16.0
ENSG00000044459	CNTLN	13.0
ENSG00000044524	EPHA3	2.0
ENSG00000044574	HSPA5	1228.0
ENSG00000046604	DSG2	153.0
ENSG00000046647	GEMIN8	8.0
ENSG00000046651	OFD1	27.0
ENSG00000046653	GPM6B	13.0
ENSG00000046774	MAGEC2	0.2
ENSG00000047056	WDR37	10.0
ENSG00000047188	YTHDC2	28.0
ENSG00000047230	CTPS2	24.0
ENSG00000047249	ATP6V1H	34.0
ENSG00000047315	POLR2B	101.0
ENSG00000047346	FAM214A	8.0
ENSG00000047365	ARAP2	4.0
ENSG00000047410	TPR	114.0
ENSG00000047578	KATNIP	11.0
ENSG00000047579	DTNBP1	13.0
ENSG00000047597	XK	8.0
ENSG00000047617	ANO2	3.0
ENSG00000047621	C12orf4	20.0
ENSG00000047634	SCML1	14.0
ENSG00000047644	WWC3	32.0
ENSG00000047648	ARHGAP6	0.1
ENSG00000047662	FAM184B	0.1
ENSG00000047849	MAP4	140.0
ENSG00000047932	GOPC	62.0
ENSG00000047936	ROS1	3.0
ENSG00000048028	USP28	12.0
ENSG00000048052	HDAC9	0.1
ENSG00000048140	TSPAN17	29.0
ENSG00000048162	NOP16	82.0
ENSG00000048342	CC2D2A	22.0
ENSG00000048392	RRM2B	13.0
ENSG00000048405	ZNF800	14.0
ENSG00000048471	SNX29	6.0
ENSG00000048540	LMO3	0.1
ENSG00000048544	MRPS10	87.0
ENSG00000048649	RSF1	18.0
ENSG00000048707	VPS13D	16.0
ENSG00000048740	CELF2	3.0
ENSG00000048828	FAM120A	184.0
ENSG00000048991	R3HDM1	35.0
ENSG00000049089	COL9A2	0.2
ENSG00000049130	KITLG	23.0
ENSG00000049167	ERCC8	10.0
ENSG00000049192	ADAMTS6	13.0
ENSG00000049239	H6PD	7.0
ENSG00000049245	VAMP3	132.0
ENSG00000049246	PER3	13.0
ENSG00000049247	UTS2	0.3
ENSG00000049249	TNFRSF9	0.1
ENSG00000049283	EPN3	0.1
ENSG00000049323	LTBP1	42.0
ENSG00000049449	RCN1	111.0
ENSG00000049540	ELN	1.0
ENSG00000049541	RFC2	149.0
ENSG00000049618	ARID1B	22.0
ENSG00000049656	CLPTM1L	382.0
ENSG00000049759	NEDD4L	12.0
ENSG00000049768	FOXP3	0.3
ENSG00000049769	PPP1R3F	1.0
ENSG00000049860	HEXB	81.0
ENSG00000049883	PTCD2	10.0
ENSG00000050130	JKAMP	45.0
ENSG00000050165	DKK3	5.0
ENSG00000050327	ARHGEF5	4.0
ENSG00000050344	NFE2L3	3.0
ENSG00000050393	MCUR1	35.0
ENSG00000050405	LIMA1	22.0
ENSG00000050426	LETMD1	21.0
ENSG00000050438	SLC4A8	0.2
ENSG00000050555	LAMC3	4.0
ENSG00000050730	TNIP3	0.1
ENSG00000050748	MAPK9	26.0
ENSG00000050820	BCAR1	37.0
ENSG00000051009	FAM160A2	27.0
ENSG00000051108	HERPUD1	26.0
ENSG00000051128	HOMER3	14.0
ENSG00000051180	RAD51	33.0
ENSG00000051341	POLQ	11.0
ENSG00000051382	PIK3CB	15.0
ENSG00000051523	CYBA	88.0
ENSG00000051596	THOC3	24.0
ENSG00000051620	HEBP2	5.0
ENSG00000051825	MPHOSPH9	14.0
ENSG00000052126	PLEKHA5	16.0
ENSG00000052344	PRSS8	0.5
ENSG00000052723	SIKE1	30.0
ENSG00000052749	RRP12	40.0
ENSG00000052795	FNIP2	4.0
ENSG00000052802	MSMO1	20.0
ENSG00000052841	TTC17	23.0
ENSG00000052850	ALX4	0.1
ENSG00000053108	FSTL4	49.0
ENSG00000053254	FOXN3	12.0
ENSG00000053371	AKR7A2	88.0
ENSG00000053372	MRTO4	212.0
ENSG00000053438	NNAT	5.0
ENSG00000053501	USE1	32.0
ENSG00000053524	MCF2L2	0.2
ENSG00000053702	NRIP2	4.0
ENSG00000053747	LAMA3	6.0
ENSG00000053770	AP5M1	11.0
ENSG00000053900	ANAPC4	13.0
ENSG00000053918	KCNQ1	4.0
ENSG00000054116	TRAPPC3	70.0
ENSG00000054118	THRAP3	259.0
ENSG00000054148	PHPT1	207.0
ENSG00000054179	ENTPD2	0.8
ENSG00000054219	LY75	0.3
ENSG00000054267	ARID4B	15.0
ENSG00000054277	OPN3	12.0
ENSG00000054282	SDCCAG8	7.0
ENSG00000054356	PTPRN	0.1
ENSG00000054392	HHAT	2.0
ENSG00000054523	KIF1B	31.0
ENSG00000054598	FOXC1	29.0
ENSG00000054611	TBC1D22A	17.0
ENSG00000054654	SYNE2	11.0
ENSG00000054690	PLEKHH1	2.0
ENSG00000054793	ATP9A	55.0
ENSG00000054938	CHRDL2	0.8
ENSG00000054965	FAM168A	27.0
ENSG00000054967	RELT	14.0
ENSG00000054983	GALC	2.0
ENSG00000055044	NOP58	206.0
ENSG00000055070	SZRD1	186.0
ENSG00000055130	CUL1	85.0
ENSG00000055147	FAM114A2	9.0
ENSG00000055163	CYFIP2	69.0
ENSG00000055208	TAB2	49.0
ENSG00000055211	GINM1	53.0
ENSG00000055332	EIF2AK2	24.0
ENSG00000055483	USP36	46.0
ENSG00000055609	KMT2C	12.0
ENSG00000055732	MCOLN3	1.0
ENSG00000055813	CCDC85A	0.9
ENSG00000055917	PUM2	50.0
ENSG00000055950	MRPL43	48.0
ENSG00000056050	HPF1	46.0
ENSG00000056097	ZFR	139.0
ENSG00000056277	ZNF280C	4.0
ENSG00000056558	TRAF1	0.6
ENSG00000056586	RC3H2	52.0
ENSG00000056736	IL17RB	8.0
ENSG00000056972	TRAF3IP2	9.0
ENSG00000056998	GYG2	1.0
ENSG00000057019	DCBLD2	19.0
ENSG00000057252	SOAT1	33.0
ENSG00000057294	PKP2	3.0
ENSG00000057468	MSH4	0.1
ENSG00000057608	GDI2	255.0
ENSG00000057657	PRDM1	2.0
ENSG00000057663	ATG5	32.0
ENSG00000057704	TMCC3	2.0
ENSG00000057757	PITHD1	116.0
ENSG00000057935	MTA3	8.0
ENSG00000058056	USP13	24.0
ENSG00000058063	ATP11B	16.0
ENSG00000058085	LAMC2	0.8
ENSG00000058091	CDK14	27.0
ENSG00000058262	SEC61A1	354.0
ENSG00000058272	PPP1R12A	29.0
ENSG00000058453	CROCC	7.0
ENSG00000058600	POLR3E	34.0
ENSG00000058668	ATP2B4	63.0
ENSG00000058673	ZC3H11A	57.0
ENSG00000058729	RIOK2	22.0
ENSG00000058799	YIPF1	33.0
ENSG00000058804	NDC1	118.0
ENSG00000059122	FLYWCH1	27.0
ENSG00000059145	UNKL	34.0
ENSG00000059377	TBXAS1	0.7
ENSG00000059378	PARP12	10.0
ENSG00000059573	ALDH18A1	125.0
ENSG00000059588	TARBP1	20.0
ENSG00000059691	GATB	10.0
ENSG00000059728	MXD1	8.0
ENSG00000059758	CDK17	11.0
ENSG00000059769	DNAJC25	16.0
ENSG00000059804	SLC2A3	9.0
ENSG00000059915	PSD	1.0
ENSG00000060069	CTDP1	18.0
ENSG00000060138	YBX3	118.0
ENSG00000060140	STYK1	1.0
ENSG00000060237	WNK1	136.0
ENSG00000060339	CCAR1	84.0
ENSG00000060491	OGFR	55.0
ENSG00000060558	GNA15	0.1
ENSG00000060642	PIGV	8.0
ENSG00000060656	PTPRU	17.0
